Name,Type,State,City,Zip,Region,isPublic,Institution_Control,Photo,Rank,ACT_Average,Aid,Acceptance Rate,Tuition,GPA_Average,Engineering Reputation Score,Parent_Rank,Enrollment,Business Reputation Score,SAT,Cost After Aid,SAT_Range,ACT_Range,Blurb
Aaniiih Nakoda College,tribal,MT,N/A,N/A,N/A,True,public,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115,N/A,N/A,N/A,N/A,N/A,Aaniiih Nakoda College is a public institution.    
Abilene Christian University,national-universities,TX,Abilene,79699,N/A,True,private,https://www.usnews.com/dims4/USNEWS/154295b/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F29%2F66cf079a8d9a10be0108b57d478603%2Fcollege-photo_36610.jpg,296,20,N/A,64,44200,3.6,2.3,N/A,3175,2.0,1010,N/A,1010-1250,20-28,"Abilene Christian University is a private institution that was founded in 1906. It has a total undergraduate enrollment of 3,175 (fall 2023), its setting is suburban, and the campus size is 272 acres. It utilizes a semester-based academic calendar. Abilene Christian University's ranking in the 2025 edition of Best Colleges is National Universities, #296. Its tuition and fees are $44,200."
Abraham Baldwin Agricultural College,regional-colleges-south,GA,Tifton,31793,south,True,public,N/A,44,16,N/A,67,N/A,N/A,N/A,N/A,3647,N/A,890,N/A,890-1100,16-21,"Abraham Baldwin Agricultural College is a public institution that was founded in 1908. It has a total undergraduate enrollment of 3,647 (fall 2022), and the campus size is 400 acres.  Abraham Baldwin Agricultural College's ranking in the 2025 edition of Best Colleges is Regional Colleges South, #44. "
Academy of Art University,regional-universities-west,CA,San Francisco,94105,west,True,proprietary,N/A,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4555,N/A,N/A,N/A,N/A,N/A,"Academy of Art University is a proprietary institution that was founded in 1929.   Academy of Art University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #105-115. "
Adams State University,regional-universities-west,CO,Alamosa,81102,west,True,public,https://www.usnews.com/dims4/USNEWS/538bf4d/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F04%2Fae84165c3be420e40e7199f6ae2af2%2FDJI_0147.jpg,-1,15,N/A,31,21847,3.2,N/A,N/A,1749,N/A,910,N/A,910-1130,15-26,"Adams State University is a public institution.  It utilizes a semester-based academic calendar. Adams State University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #105-115. Its in-state tuition and fees are $9,775; out-of-state tuition and fees are $21,847."
Adelphi University,national-universities,NY,Garden City,11530,N/A,True,private,https://www.usnews.com/dims4/USNEWS/ccc859c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff3%2F22be9e669abf6493ab475fccbe64a5%2Fcollege-photo_37212.jpg,189,23,59,78,49110,3.7,N/A,N/A,5124,2.3,1110,41461.0,1110-1305,23-29,"Adelphi University is a private institution that was founded in 1896. It has a total undergraduate enrollment of 5,124 (fall 2023), its setting is suburban, and the campus size is 75 acres. It utilizes a semester-based academic calendar. Adelphi University's ranking in the 2025 edition of Best Colleges is National Universities, #189. Its tuition and fees are $49,110."
Adrian College,regional-colleges-midwest,MI,Adrian,49221,midwest,True,private,https://www.usnews.com/dims4/USNEWS/5c71648/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F48%2F73bd0689a2418139ac50a9f4053eb7%2Fcollege-photo_697.jpg,32,18,87,68,41684,3.2,N/A,N/A,1678,N/A,880,19483.0,880-1120,18-26,"Adrian College is a private institution that was founded in 1859. It has a total undergraduate enrollment of 1,678 (fall 2023), its setting is suburban, and the campus size is 132 acres. It utilizes a semester-based academic calendar. Adrian College's ranking in the 2025 edition of Best Colleges is Regional Colleges Midwest, #32. Its tuition and fees are $41,684."
AdventHealth University,health,FL,Orlando,32803,N/A,True,private,N/A,-2,N/A,N/A,34,N/A,N/A,N/A,N/A,1110,N/A,N/A,N/A,N/A,N/A,AdventHealth University is a private institution.    
Agnes Scott College,national-liberal-arts-colleges,GA,Decatur,30030,N/A,True,private,https://www.usnews.com/dims4/USNEWS/9350c5c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff3%2F3368b551708e38e8bc32259fc86009%2Fusnews-campus.jpg,63,26,71,68,50604,3.7,N/A,N/A,911,N/A,1180,27468.0,1180-1350,26-31,"Agnes Scott College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 911 (fall 2023), its setting is city, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Agnes Scott College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #63. Its tuition and fees are $50,604."
Alabama A&M University,regional-universities-south,AL,Normal,35762,south,True,public,https://www.usnews.com/dims4/USNEWS/8ad92ff/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fa1%2F63386d8b09aaf181f83b4c2f6f77b7%2Fcollege-photo_7105.jpg,97,14,N/A,66,18634,N/A,2.5,N/A,5845,2.1,810,N/A,810-1060,14-19,"Alabama A&M University is a public institution that was founded in 1875. It has a total undergraduate enrollment of 5,845 (fall 2023), and the campus size is 1,173 acres.  Alabama A&M University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #97. Its in-state tuition and fees are $10,024; out-of-state tuition and fees are $18,634."
Alabama State University,national-universities,AL,Montgomery,36101,N/A,True,public,https://www.usnews.com/dims4/USNEWS/473064e/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fe4%2F152c17fc5ff69c24531512e0638cc4%2FImage_103_%282%29.JPG,-1,16,N/A,96,19396,3.1,N/A,N/A,3322,N/A,865,N/A,865-1069,16-20,"Alabama State University is a public institution that was founded in 1867. It has a total undergraduate enrollment of 3,322 (fall 2023), and the campus size is 172 acres. It utilizes a semester-based academic calendar. Alabama State University's ranking in the 2025 edition of Best Colleges is National Universities, #392-434. Its in-state tuition and fees are $11,068; out-of-state tuition and fees are $19,396."
Alaska Pacific University,regional-colleges-west,AK,Anchorage,99508,west,True,private,https://www.usnews.com/dims4/USNEWS/b3b598a/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F6f%2F77f90133981627ed1b7cd275e31632%2F8G0A2173.jpg,-1,N/A,N/A,99,N/A,N/A,N/A,N/A,490,N/A,N/A,N/A,N/A,N/A,"Alaska Pacific University is a private institution that was founded in 1959. It has a total undergraduate enrollment of 490 (fall 2022), and the campus size is 170 acres.  Alaska Pacific University's ranking in the 2025 edition of Best Colleges is Regional Colleges West, #42-45. "
Albany College of Pharmacy and Health Sciences,health,NY,Albany,12208,N/A,True,private,https://www.usnews.com/dims4/USNEWS/73fb475/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fea%2F8c1e2a1f65a930a553c81d699c22ab%2Fcollege-photo_31346.jpg,-2,N/A,N/A,59,40025,3.5,N/A,N/A,547,N/A,N/A,N/A,N/A,N/A,"Albany College of Pharmacy and Health Sciences is a private institution that was founded in 1881. It has a total undergraduate enrollment of 547 (fall 2023), its setting is urban, and the campus size is 35 acres. It utilizes a semester-based academic calendar.  Its tuition and fees are $40,025."
Albany State University,regional-universities-south,GA,Albany,31705,south,True,public,https://www.usnews.com/dims4/USNEWS/1652791/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F81%2F926f7f5b5f61d8ee58ccbbf1330ac4%2Fcollege-photo_7193.jpg,97,14,N/A,73,19902,N/A,N/A,N/A,6018,N/A,790,N/A,790-958,14-17,"Albany State University is a public institution that was founded in 1903. It has a total undergraduate enrollment of 6,018 (fall 2023), its setting is urban, and the campus size is 231 acres. It utilizes a semester-based academic calendar. Albany State University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #97. Its in-state tuition and fees are $6,500; out-of-state tuition and fees are $19,902."
Albertus Magnus College,regional-universities-north,CT,New Haven,06511,north,True,private,https://www.usnews.com/dims4/USNEWS/1f91495/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F64%2F884531762102cc3725cd525f036aa5%2Fcollege-photo_20214.jpg,120,N/A,N/A,64,41908,2.9,N/A,N/A,892,N/A,820,N/A,820-1150,N/A,"Albertus Magnus College is a private institution that was founded in 1925. It has a total undergraduate enrollment of 892 (fall 2023), its setting is suburban, and the campus size is 50 acres. It utilizes a semester-based academic calendar. Albertus Magnus College's ranking in the 2025 edition of Best Colleges is Regional Universities North, #120. Its tuition and fees are $41,908."
