Index,QS_rank,Previous Rank,Country/Territory,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE,normalizedName,Type,State,Zip,isPublic,Institution_Control,Photo,USNews_US_Rank,ACT_Average,Aid,Acceptance Rate,Tuition,GPA_Average,Engineering Reputation Score,Parent_Rank,Enrollment,Business Reputation Score,SAT,Cost After Aid,SAT_Range,ACT_Range,Blurb,Region,USNews_global_rank,Global Score from US News,Image,Description,Country,Country Code,name,Total number of students,Number of international students,Total number of academic staff,Number of international staff,Number of undergraduate degrees awarded,Number of master's degrees awarded,Number of doctoral degrees awarded,Number of research only staff,Number of new undergraduate students,Number of new master's students,Number of new doctoral students,best global universities,agricultural sciences,artificial intelligence,arts and humanities,biology and biochemistry,biotechnology and applied microbiology,cardiac and cardiovascular systems,cell biology,chemistry,clinical medicine,computer science,condensed matter physics,ecology,economics and business,education and educational research,electrical and electronic engineering,endocrinology and metabolism,energy and fuels,engineering,environmental engineering,environmentecology,food science and technology,gastroenterology and hepatology,geosciences,immunology,infectious diseases,materials science,mathematics,meteorology and atmospheric sciences,microbiology,molecular biology and genetics,nanoscience and nanotechnology,neuroscience and behavior,oncology,optics,pharmacology and toxicology,physical chemistry,physics,plant and animal science,polymer science,psychiatrypsychology,public environmental and occupational health,radiology nuclear medicine and medical imaging,social sciences and public health,space science,surgery,chemical engineering,civil engineering,green and sustainable science and technology,mechanical engineering,water resources,best global universities in europe,best global universities in the united kingdom,marine and freshwater biology,best global universities in asia,best global universities in china,best global universities in canada,best global universities in australianew zealand,best global universities in australia,best global universities in the netherlands,best global universities in switzerland,best global universities in hong kong,best global universities in denmark,best global universities in germany,best global universities in france,best global universities in belgium,best global universities in sweden,best global universities in spain,best global universities in japan,best global universities in norway,best global universities in saudi arabia,best global universities in finland,best global universities in africa,best global universities in south africa,best global universities in new zealand,best global universities in israel,best global universities in south korea,best global universities in italy,best global universities in latin america,best global universities in brazil,best global universities in austria,best global universities in ireland,best global universities in greece,best global universities in portugal,best global universities in the czech republic,best global universities in the united arab emirates,best global universities in egypt,best global universities in taiwan,best global universities in turkey,best global universities in iran,best global universities in vietnam,best global universities in nigeria,best global universities in malaysia,best global universities in pakistan,best global universities in russia,best global universities in chile,best global universities in mexico,best global universities in poland,best global universities in jordan,best global universities in argentina,best global universities in hungary,best global universities in thailand,best global universities in bangladesh,best global universities in ethiopia,best global universities in india,best global universities in colombia,best global universities in romania,best global universities in slovakia,best global universities in morocco,best global universities in indonesia,best global universities in tunisia,best global universities in lithuania,City,Name
306.0,306,306,Denmark,L,FC,VH,Public,26.4,478,25.0,538,27.7,685,77.2,167,89.0,231,29.4,597,35.4,546,91.7,148,25.4,634,79.1,186,44.9,aalborg university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Europe,276,59.5,N/A,,Denmark,DNK,Aalborg University,"16,051","2,140","1,157",299,"2,832","3,412",187,247,"3,452","3,881",240,276.0,nan,nan,nan,583.0,nan,98.0,nan,1063.0,286.0,190.0,nan,nan,nan,nan,19.0,242.0,41.0,27.0,191.0,511.0,nan,178.0,nan,nan,nan,668.0,nan,nan,nan,nan,nan,405.0,391.0,nan,nan,nan,nan,nan,nan,446.0,381.0,nan,307.0,nan,nan,206.0,173.0,42.0,nan,nan,111.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Aalborg,Aalborg University
114.0,114,113,Finland,L,FO,VH,Public,57.5,189,56.1,212,35.1,564,79.6,160,97.2,147,60.0,343,63.9,312,80.9,332,97.1,55,88.3,77,66.3,aalto university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Europe,271,59.6,N/A,,Finland,FIN,Aalto University,"15,034","3,941",704,152,"1,614","2,137",231,690,"2,207","2,563",316,271.0,nan,nan,nan,415.0,nan,nan,nan,214.0,nan,95.0,153.0,nan,111.0,nan,118.0,nan,157.0,118.0,208.0,513.0,nan,nan,nan,nan,nan,148.0,258.0,nan,nan,nan,214.0,410.0,nan,177.0,nan,205.0,325.0,nan,78.0,nan,nan,nan,283.0,96.0,nan,233.0,85.0,81.0,nan,nan,109.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Esbo,Aalto University
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,aaniiih nakoda college,tribal,MT,nan,True,public,nan,,nan,nan,nan,nan,nan,nan,nan,115,nan,nan,nan,nan,nan,Aaniiih Nakoda College is a public institution.    ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Aaniiih Nakoda College
131.0,131,144,Denmark,L,FC,VH,Public,68.3,140,41.7,325,42.4,472,74.1,183,96.7,157,25.5,654,19.1,777,96.3,52,79.4,164,73.2,271=,64.3,aarhus university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Europe,117,69.1,N/A,,Denmark,DNK,Aarhus University,"25,370","3,034","1,978",600,"4,854","4,880",495,910,"6,638","5,726",544,117.0,72.0,nan,70.0,110.0,103.0,97.0,165.0,266.0,110.0,287.0,nan,22.0,107.0,nan,405.0,105.0,167.0,186.0,111.0,23.0,77.0,118.0,130.0,113.0,114.0,302.0,493.0,92.0,112.0,95.0,332.0,114.0,115.0,235.0,364.0,318.0,436.0,60.0,nan,71.0,56.0,67.0,56.0,153.0,206.0,nan,nan,97.0,nan,64.0,39.0,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Aarhus,Aarhus University
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,abant izzet baysal university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,117",19.2,N/A,,Turkey,TUR,Abant Izzet Baysal University,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2117.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,927.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,71.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Bolu,Abant Izzet Baysal University
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,abdelmalek essaadi university of tetouan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,646",29.5,N/A,,Morocco,MAR,Abdelmalek Essaadi University of Tetouan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1646.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1241.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,83.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,Tétouan,Abdelmalek Essaadi University of Tetouan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,abdul wali khan university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,653,48.0,N/A,,Pakistan,PAK,Abdul Wali Khan University,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,653.0,nan,nan,nan,nan,nan,nan,nan,803.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,188.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mardan,Abdul Wali Khan University
742.0,741-750,661-670,United Kingdom,M,CO,VH,Public,12.8,701+,11.5,701+,27.6,687,23.9,658,61.3,382=,42.0,475,45.4,457,63.3,646,11.0,801+,63.1,439=,-,aberystwyth university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Europe,"1,164",37.7,N/A,,United Kingdom,GBR,Aberystwyth University,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1164.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,460.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,328.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,479.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,407.0,77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Aberystwyth,Aberystwyth University
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,abilene christian university,national-universities,TX,79699.0,True,private,https://www.usnews.com/dims4/USNEWS/154295b/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F29%2F66cf079a8d9a10be0108b57d478603%2Fcollege-photo_36610.jpg,296,20.0,nan,64.0,44200.0,3.6,2.3,nan,3175,2.0,1010.0,nan,1010-1250,20-28,"Abilene Christian University is a private institution that was founded in 1906. It has a total undergraduate enrollment of 3,175 (fall 2023), its setting is suburban, and the campus size is 272 acres. It utilizes a semester-based academic calendar. Abilene Christian University's ranking in the 2025 edition of Best Colleges is National Universities, #296. Its tuition and fees are $44,200.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Abilene,Abilene Christian University
643.0,643,621-630,Finland,M,CO,VH,Public,9.5,701+,7.9,701+,22.1,789,53.9,341,60.7,386,43.6,462,32.6,582,59.8,696,13.5,801+,45.2,801+,26.9,abo akademi university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Europe,"1,117",38.7,N/A,,Finland,FIN,Abo Akademi University,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1117.0,nan,nan,nan,nan,nan,nan,nan,517.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,672.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,689.0,nan,nan,nan,nan,nan,nan,nan,392.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Turku,Abo Akademi University
